iter	Passed	Remaining
560	3214	2515
561	3220	2509
562	3225	2503
563	3231	2498
564	3237	2492
565	3243	2487
566	3248	2481
567	3254	2475
568	3259	2469
569	3266	2464
570	3271	2458
571	3277	2452
572	3283	2446
573	3288	2440
574	3294	2435
575	3300	2429
576	3305	2423
577	3311	2417
578	3317	2412
579	3323	2406
580	3330	2402
581	3336	2396
582	3342	2390
583	3348	2384
584	3353	2379
585	3359	2373
586	3364	2367
587	3370	2361
588	3375	2355
589	3381	2350
590	3387	2344
591	3394	2339
592	3399	2333
593	3405	2327
594	3412	2322
595	3417	2316
596	3423	2310
597	3428	2304
598	3434	2299
599	3440	2293
600	3446	2287
601	3451	2282
602	3457	2276
603	3463	2270
604	3469	2265
605	3475	2259
606	3480	2253
607	3487	2248
608	3492	2242
609	3497	2236
610	3503	2230
611	3508	2224
612	3514	2219
613	3519	2212
614	3525	2207
615	3531	2201
616	3536	2195
617	3542	2189
618	3548	2184
619	3554	2178
620	3559	2172
621	3565	2166
622	3571	2161
623	3577	2155
624	3582	2149
625	3588	2143
626	3593	2137
627	3599	2132
628	3606	2126
629	3611	2121
630	3617	2115
631	3623	2109
632	3628	2103
633	3635	2098
634	3641	2092
635	3646	2087
636	3652	2081
637	3657	2075
638	3663	2069
639	3670	2064
640	3675	2058
641	3681	2052
642	3688	2047
643	3693	2041
644	3699	2035
645	3704	2030
646	3709	2024
647	3715	2018
648	3721	2012
649	3727	2006
650	3732	2001
651	3738	1995
652	3745	1990
653	3751	1984
654	3757	1979
655	3763	1973
656	3768	1967
657	3774	1962
658	3780	1956
659	3786	1950
660	3792	1944
661	3798	1939
662	3804	1933
663	3810	1928
664	3816	1922
665	3822	1916
666	3827	1911
667	3833	1905
668	3839	1899
669	3844	1893
670	3851	1888
671	3857	1882
672	3862	1876
673	3868	1871
674	3874	1865
675	3879	1859
676	3885	1853
677	3891	1848
678	3897	1842
679	3903	1836
680	3908	1830
681	3914	1825
682	3920	1819
683	3926	1813
684	3932	1808
685	3937	1802
686	3943	1796
687	3949	1791
688	3954	1785
689	3960	1779
690	3966	1773
691	3972	1768
692	3977	1762
693	3983	1756
694	3990	1751
695	3996	1745
696	4001	1739
697	4007	1733
698	4013	1728
699	4018	1722
700	4024	1716
701	4031	1711
702	4037	1705
703	4042	1699
704	4048	1694
705	4053	1688
706	4060	1682
707	4066	1677
708	4072	1671
709	4078	1665
710	4083	1659
711	4088	1653
712	4094	1648
